x =  0.06776927 	dxcalc =  4.172641e-05 	f(x) =  85.84823	dist =  1.960534
x =  0.06781099 	dxcalc =  4.345526e-05 	f(x) =  83.88842	dist =  1.959803
x =  0.06785445 	dxcalc =  4.529063e-05 	f(x) =  81.92938	dist =  1.959048
x =  0.06789974 	dxcalc =  4.724119e-05 	f(x) =  79.97111	dist =  1.958265
x =  0.06794698 	dxcalc =  4.931649e-05 	f(x) =  78.01366	dist =  1.957456
x =  0.0679963 	dxcalc =  5.152702e-05 	f(x) =  76.05704	dist =  1.956618
x =  0.06804782 	dxcalc =  5.38844e-05 	f(x) =  74.10129	dist =  1.955749
x =  0.06810171 	dxcalc =  5.640144e-05 	f(x) =  72.14644	dist =  1.95485
x =  0.06815811 	dxcalc =  5.909233e-05 	f(x) =  70.19252	dist =  1.953917
x =  0.0682172 	dxcalc =  6.197282e-05 	f(x) =  68.23957	dist =  1.95295
x =  0.06827917 	dxcalc =  6.506039e-05 	f(x) =  66.28762	dist =  1.951948
x =  0.06834423 	dxcalc =  6.837447e-05 	f(x) =  64.33671	dist =  1.950908
x =  0.06841261 	dxcalc =  7.193673e-05 	f(x) =  62.38689	dist =  1.94983
x =  0.06848455 	dxcalc =  7.577132e-05 	f(x) =  60.43817	dist =  1.948711
x =  0.06856032 	dxcalc =  7.990526e-05 	f(x) =  58.49062	dist =  1.94755
x =  0.06864022 	dxcalc =  8.436876e-05 	f(x) =  56.54428	dist =  1.946346
x =  0.06872459 	dxcalc =  8.919568e-05 	f(x) =  54.59918	dist =  1.945098
x =  0.06881379 	dxcalc =  9.442403e-05 	f(x) =  52.65538	dist =  1.943803
x =  0.06890821 	dxcalc =  0.0001000965 	f(x) =  50.71292	dist =  1.942461
x =  0.06900831 	dxcalc =  0.0001062611 	f(x) =  48.77184	dist =  1.941072
x =  0.06911457 	dxcalc =  0.0001129719 	f(x) =  46.83221	dist =  1.939635
x =  0.06922754 	dxcalc =  0.0001202899 	f(x) =  44.89406	dist =  1.93815
x =  0.06934783 	dxcalc =  0.0001282835 	f(x) =  42.95744	dist =  1.936617
x =  0.06947611 	dxcalc =  0.0001370302 	f(x) =  41.0224	dist =  1.93504
x =  0.06961314 	dxcalc =  0.000146617 	f(x) =  39.08898	dist =  1.93342
x =  0.06975976 	dxcalc =  0.0001571418 	f(x) =  37.15722	dist =  1.931763
x =  0.0699169 	dxcalc =  0.0001687143 	f(x) =  35.22714	dist =  1.930074
x =  0.07008562 	dxcalc =  0.0001814573 	f(x) =  33.29878	dist =  1.928363
x =  0.07026707 	dxcalc =  0.0001955073 	f(x) =  31.37214	dist =  1.926643
x =  0.07046258 	dxcalc =  0.000211015 	f(x) =  29.44721	dist =  1.92493
x =  0.0706736 	dxcalc =  0.0002281451 	f(x) =  27.52396	dist =  1.923245
x =  0.07090174 	dxcalc =  0.0002470749 	f(x) =  25.60234	dist =  1.921618
x =  0.07114882 	dxcalc =  0.0002679911 	f(x) =  23.68226	dist =  1.920086
x =  0.07141681 	dxcalc =  0.0002910846 	f(x) =  21.76356	dist =  1.918695
x =  0.07170789 	dxcalc =  0.0003165406 	f(x) =  19.84606	dist =  1.917508
x =  0.07202443 	dxcalc =  0.0003445242 	f(x) =  17.92946	dist =  1.916599
x =  0.07236896 	dxcalc =  0.0003751586 	f(x) =  16.01339	dist =  1.916064
x =  0.07274412 	dxcalc =  0.0004084934 	f(x) =  14.09737	dist =  1.91602
x =  0.07315261 	dxcalc =  0.0004444632 	f(x) =  12.18076	dist =  1.916608
x =  0.07359707 	dxcalc =  0.0004828315 	f(x) =  10.26277	dist =  1.917997
x =  0.0740799 	dxcalc =  0.0005231258 	f(x) =  8.34239	dist =  1.920378
x =  0.07460303 	dxcalc =  0.0005645656 	f(x) =  6.418426	dist =  1.923965
x =  0.0751676 	dxcalc =  0.0006059975 	f(x) =  4.489446	dist =  1.92898
x =  0.07577359 	dxcalc =  0.0006458597 	f(x) =  2.55381	dist =  1.935636
x =  0.07641945 	dxcalc =  0.0006822036 	f(x) =  0.6097061	dist =  1.944104
x =  0.07710166 	dxcalc =  0.0007128072 	f(x) =  -1.344767	dist =  1.954473
x =  0.07781446 	dxcalc =  0.0007354007 	f(x) =  -3.311473	dist =  1.966706
x =  0.07854986 	dxcalc =  0.0007479902 	f(x) =  -5.292068	dist =  1.980595
x =  0.07929785 	dxcalc =  0.0007492242 	f(x) =  -7.287807	dist =  1.995738
x =  0.08004708 	dxcalc =  0.0007386947 	f(x) =  -9.299359	dist =  2.011552
x =  0.08078577 	dxcalc =  0.0007170669 	f(x) =  -11.32669	dist =  2.027329
x =  0.08150284 	dxcalc =  0.0006859755 	f(x) =  -13.36902	dist =  2.042335
x =  0.08218882 	dxcalc =  0.0006477162 	f(x) =  -15.42494	dist =  2.055918
x =  0.08283653 	dxcalc =  0.0006048382 	f(x) =  -17.49254	dist =  2.067603
x =  0.08344137 	dxcalc =  0.0005597653 	f(x) =  -19.56968	dist =  2.077135
x =  0.08400114 	dxcalc =  0.0005145342 	f(x) =  -21.65416	dist =  2.084477
x =  0.08451567 	dxcalc =  0.0004706767 	f(x) =  -23.74392	dist =  2.089762
x =  0.08498635 	dxcalc =  0.0004292197 	f(x) =  -25.83715	dist =  2.093231
x =  0.08541557 	dxcalc =  0.0003907576 	f(x) =  -27.93232	dist =  2.095176
x =  0.08580632 	dxcalc =  0.0003555525 	f(x) =  -30.02822	dist =  2.095893
x =  0.08616188 	dxcalc =  0.000323633 	f(x) =  -32.12388	dist =  2.095658
x =  0.08648551 	dxcalc =  0.0002948781 	f(x) =  -34.21858	dist =  2.094705
x =  0.08678039 	dxcalc =  0.0002690799 	f(x) =  -36.31181	dist =  2.093231
x =  0.08704947 	dxcalc =  0.0002459883 	f(x) =  -38.4032	dist =  2.091392
x =  0.08729546 	dxcalc =  0.0002253401 	f(x) =  -40.49251	dist =  2.089309
x =  0.0875208 	dxcalc =  0.0002068771 	f(x) =  -42.57959	dist =  2.087076
x =  0.08772767 	dxcalc =  0.0001903565 	f(x) =  -44.66435	dist =  2.08476
x =  0.08791803 	dxcalc =  0.0001755556 	f(x) =  -46.74676	dist =  2.082415
x =  0.08809358 	dxcalc =  0.0001622741 	f(x) =  -48.82684	dist =  2.080077
x =  0.08825586 	dxcalc =  0.0001503336 	f(x) =  -50.90461	dist =  2.077772
x =  0.08840619 	dxcalc =  0.0001395768 	f(x) =  -52.98013	dist =  2.07552
x =  0.08854577 	dxcalc =  0.0001298654 	f(x) =  -55.05347	dist =  2.073332
x =  0.08867563 	dxcalc =  0.0001210782 	f(x) =  -57.12468	dist =  2.071216
x =  0.08879671 	dxcalc =  0.0001131094 	f(x) =  -59.19386	dist =  2.069177
x =  0.08890982 	dxcalc =  0.0001058665 	f(x) =  -61.26108	dist =  2.067217
x =  0.08901569 	dxcalc =  9.926885e-05 	f(x) =  -63.32641	dist =  2.065336
x =  0.08911496 	dxcalc =  9.32457e-05 	f(x) =  -65.38994	dist =  2.063533
x =  0.0892082 	dxcalc =  8.773525e-05 	f(x) =  -67.45175	dist =  2.061806
x =  0.08929594 	dxcalc =  8.268334e-05 	f(x) =  -69.5119	dist =  2.060154
x =  0.08937862 	dxcalc =  7.804238e-05 	f(x) =  -71.57048	dist =  2.058573
x =  0.08945666 	dxcalc =  7.377054e-05 	f(x) =  -73.62754	dist =  2.057061
x =  0.08953043 	dxcalc =  6.983097e-05 	f(x) =  -75.68315	dist =  2.055614
x =  0.08960027 	dxcalc =  6.61911e-05 	f(x) =  -77.73738	dist =  2.054229
x =  0.08966646 	dxcalc =  6.282214e-05 	f(x) =  -79.79029	dist =  2.052904
x =  0.08972928 	dxcalc =  5.969856e-05 	f(x) =  -81.84192	dist =  2.051635
x =  0.08978898 	dxcalc =  5.679768e-05 	f(x) =  -83.89234	dist =  2.05042
x =  0.08984577 	dxcalc =  5.409929e-05 	f(x) =  -85.9416	dist =  2.049255
x =  0.08989987 	dxcalc =  5.158538e-05 	f(x) =  -87.98973	dist =  2.048138
x =  0.08995146 	dxcalc =  4.923986e-05 	f(x) =  -90.0368	dist =  2.047067
x =  0.0900007 	dxcalc =  4.704828e-05 	f(x) =  -92.08284	dist =  2.046039
