>> interpol()
x       	p(x)    	y(x)    	|p-y|   
4.490000	-5.635677	-5.574375	0.061302
4.500000	-5.719497	-5.649254	0.070243
4.510000	-5.801755	-5.722381	0.079374
4.520000	-5.882387	-5.793711	0.088676
4.530000	-5.961328	-5.863199	0.098129
4.540000	-6.038513	-5.930802	0.107711
4.550000	-6.113874	-5.996475	0.117400
4.560000	-6.187346	-6.060175	0.127171
4.570000	-6.258859	-6.121861	0.136998
4.580000	-6.328345	-6.181488	0.146856
4.590000	-6.395733	-6.239017	0.156716
4.600000	-6.460954	-6.294406	0.166548
4.610000	-6.523935	-6.347614	0.176322
4.620000	-6.584605	-6.398601	0.186004
4.630000	-6.642890	-6.447327	0.195562
4.640000	-6.698715	-6.493755	0.204960
4.650000	-6.752007	-6.537846	0.214161
4.660000	-6.802689	-6.579562	0.223127
4.670000	-6.850684	-6.618866	0.231817
4.680000	-6.895915	-6.655723	0.240191
4.690000	-6.938303	-6.690098	0.248205
4.700000	-6.977769	-6.721955	0.255814
4.710000	-7.014233	-6.751261	0.262972
4.720000	-7.047613	-6.777982	0.269630
4.730000	-7.077827	-6.802087	0.275740
4.740000	-7.104793	-6.823545	0.281248
4.750000	-7.128427	-6.842324	0.286103
4.760000	-7.148643	-6.858395	0.290248
4.770000	-7.165356	-6.871729	0.293627
4.780000	-7.178479	-6.882299	0.296180
4.790000	-7.187925	-6.890077	0.297848
4.800000	-7.193606	-6.895037	0.298568
4.810000	-7.195431	-6.897155	0.298276
4.820000	-7.193311	-6.896407	0.296904
4.830000	-7.187153	-6.892769	0.294385
4.840000	-7.176867	-6.886219	0.290648
4.850000	-7.162358	-6.876736	0.285622
4.860000	-7.143533	-6.864301	0.279231
4.870000	-7.120296	-6.848895	0.271400
4.880000	-7.092551	-6.830500	0.262051
4.890000	-7.060201	-6.809099	0.251103
4.900000	-7.023149	-6.784676	0.238472
4.910000	-6.981294	-6.757218	0.224076
4.920000	-6.934538	-6.726711	0.207827
4.930000	-6.882779	-6.693144	0.189636
4.940000	-6.825916	-6.656504	0.169412
4.950000	-6.763844	-6.616783	0.147062
4.960000	-6.696462	-6.573971	0.122490
4.970000	-6.623662	-6.528063	0.095599
4.980000	-6.545340	-6.479051	0.066289
4.990000	-6.461389	-6.426931	0.034458
5.000000	-6.371700	-6.371699	0.000001
